user_code;name;reference_for_pricing;bloomberg
-;-;-;
AED;AED - UAE Dirham;AEDUSD Curncy;AED
ALL;ALL - Albanian Leke;ALLUSD Curncy;ALL
AMD;AMD - Armenian Dram;AMDUSD Curncy;AMD
ANG;ANG - Neth Ant Guilder;ANGUSD Curncy;ANG
AOA;AOA - Angolan New Kwanza;AOAUSD Curncy;AOA
ARS;ARS - Argentine Peso;ARSUSD Curncy;ARS
ATS;ATS - Austrian Schilling;ATSUSD Curncy;ATS
AUD;AUD - Australian Dollar;AUDUSD Curncy;AUD
AZN;AZN - Azerbaijan Manat;AZNUSD Curncy;AZN
BAM;BAM - Convertible Marka;BAMUSD Curncy;BAM
BEF;BEF - Belgium Franc;BEFUSD Curncy;BEF
BGN;BGN - Bulgarian Lev;BGNUSD Curncy;BGN
BHD;BHD - Bahraini Dinar;BHDUSD Curncy;BHD
BIF;BIF - Burundi Franc;BIFUSD Curncy;BIF
BMD;BMD - Dollar;BMDUSD Curncy;BMD
BOB;BOB - Bolivian Boliviano;BOBUSD Curncy;BOB
BRL;BRL - Brazilian Real;BRLUSD Curncy;BRL
BSD;BSD - Bahamas Dollar;BSDUSD Curncy;BSD
BVI;BVI - Dollar;BVIUSD Curncy;BVI
BWP;BWP - Botswana Pula;BWPUSD Curncy;BWP
BYR;BYR - Belarus Ruble;BYRUSD Curncy;BYR
CAD;CAD - Canada Dollar;CADUSD Curncy;CAD
CHF;CHF - Swiss Franc;CHFUSD Curncy;CHF
CLP;CLP - Chilean Peso;CLPUSD Curncy;CLP
CNY;CNY - Yuan Renminbi;CNYUSD Curncy;CNY
COP;COP - Colombian Peso;COPUSD Curncy;COP
CRC;CRC - CostaRica Colon;CRCUSD Curncy;CRC
CUP;CUP - Cuban Peso;CUPUSD Curncy;CUP
CYP;CYP - Cyprus Pound;CYPUSD Curncy;CYP
CZK;CZK - Czech Koruna;CZKUSD Curncy;CZK
DEM;DEM - German Mark;DEMUSD Curncy;DEM
DJF;DJF - Djibouti Franc;DJFUSD Curncy;DJF
DKK;DKK - Danish Krone;DKKUSD Curncy;DKK
DOP;DOP - Dominican Peso;DOPUSD Curncy;DOP
DZD;DZD - Algerian Dinar;DZDUSD Curncy;DZD
ECS;ECS - Ecuadorian Sucre;ECSUSD Curncy;ECS
EEK;EEK - Estonian Kroon;EEKUSD Curncy;EEK
EGP;EGP - Egyptian Pound;EGPUSD Curncy;EGP
ESP;ESP - Spanish Peseta;ESPUSD Curncy;ESP
ETB;ETB - Ethiopian Birr;ETBUSD Curncy;ETB
EUR;EUR - Euro;EURUSD Curncy;EUR
FIM;FIM - Finnish Mark;FIMUSD Curncy;FIM
FRF;FRF - French Franc;FRFUSD Curncy;FRF
GBP;GBP - British Pound;GBPUSD Curncy;GBP
GEL;GEL - Georgia Lari;GELUSD Curncy;GEL
GHC;GHC - Ghana Cedi;GHCUSD Curncy;GHC
GMD;GMD - Gambian  Dalasi;GMDUSD Curncy;GMD
GNF;GNF - Guinea Repub Franc;GNFUSD Curncy;GNF
GRD;GRD - Greek Drachma;GRDUSD Curncy;GRD
GTQ;GTQ - Guatemalan Quetzal;GTQUSD Curncy;GTQ
GWP;GWP - Guinea Bissau Peso;GWPUSD Curncy;GWP
HKD;HKD - Hong Kong Dollar;HKDUSD Curncy;HKD
HRK;HRK - Croatian Kuna;HRKUSD Curncy;HRK
HUF;HUF - Hungarian Forint;HUFUSD Curncy;HUF
IDR;IDR - Indonesian Rupiah;IDRUSD Curncy;IDR
IEP;IEP - Irish Punt;IEPUSD Curncy;IEP
ILS;ILS - Israeli Shekel;ILSUSD Curncy;ILS
INR;INR - India Rupee;INRUSD Curncy;INR
IQD;IQD - Iraqi Dinar;IQDUSD Curncy;IQD
IRR;IRR - Iranian Rial;IRRUSD Curncy;IRR
ISK;ISK - Icelandic Krona;ISKUSD Curncy;ISK
ITL;ITL - Italian Lira;ITLUSD Curncy;ITL
JMD;JMD - Jamaica Dollar;JMDUSD Curncy;JMD
JOD;JOD - Jordanian Dinar;JODUSD Curncy;JOD
JPY;JPY - Japanese Yen;JPYUSD Curncy;JPY
KES;KES - Kenyan Shilling;KESUSD Curncy;KES
KGS;KGS - Kyrgyzstan Som;KGSUSD Curncy;KGS
KRW;KRW - Korean Won;KRWUSD Curncy;KRW
KWD;KWD - Kuwaiti Dinar;KWDUSD Curncy;KWD
KYD;KYD - CaymanIslands Dollar;KYDUSD Curncy;KYD
KZT;KZT - Kazakhstan Tenge;KZTUSD Curncy;KZT
LBP;LBP - Lebanese Pound;LBPUSD Curncy;LBP
LKR;LKR - Sri Lanka Rupee;LKRUSD Curncy;LKR
LRD;LRD - Liberian Dollar;LRDUSD Curncy;LRD
LSL;LSL - Lesotho Loti;LSLUSD Curncy;LSL
LTL;LTL - Lithuanian Litas;LTLUSD Curncy;LTL
LUF;LUF - Luxembourg Franc;LUFUSD Curncy;LUF
LVL;LVL - Latvian Lats;LVLUSD Curncy;LVL
LYD;LYD - Libya Dinar;LYDUSD Curncy;LYD
MAD;MAD - Moroccan Dirham;MADUSD Curncy;MAD
MDK;MDK - Macedonian MKD;MDKUSD Curncy;MDK
MDL;MDL - Moldovan Leu;MDLUSD Curncy;MDL
MGF;MGF - Malagasy Franc;MGFUSD Curncy;MGF
MTL;MTL - Maltese Lira;MTLUSD Curncy;MTL
MXN;MXN - Mexican Peso;MXNUSD Curncy;MXN
MYR;MYR - Malaysian Ringgit;MYRUSD Curncy;MYR
NLG;NLG - Dutch Guilder;NLGUSD Curncy;NLG
NOK;NOK - Norwegian Krone;NOKUSD Curncy;NOK
NZD;NZD - New Zealand Dollar;NZDUSD Curncy;NZD
OMR;OMR - Omani Rial;OMRUSD Curncy;OMR
PAB;PAB - Panamanian Balboa;PABUSD Curncy;PAB
PEN;PEN - Peruvian Nuevo Sol;PENUSD Curncy;PEN
PHP;PHP - Philippines Peso;PHPUSD Curncy;PHP
PKR;PKR - Pakistan;PKRUSD Curncy;PKR
PLN;PLN - Polish Zloty;PLNUSD Curncy;PLN
PTE;PTE - Portuguese Escudo;PTEUSD Curncy;PTE
PYG;PYG - Paraguayan Guarani;PYGUSD Curncy;PYG
QAR;QAR - Qatar Rial;QARUSD Curncy;QAR
ROL;ROL - Romanian Leu;ROLUSD Curncy;ROL
RON;RON - Romanian Leu;RONUSD Curncy;RON
RUB;RUB - Ruble;RUBUSD Curncy;RUB
RUR;RUR - Ruble;RURUSD Curncy;RUR
SAR;SAR - Saudi Riyal;SARUSD Curncy;SAR
SEK;SEK - Swedish Krona;SEKUSD Curncy;SEK
SGD;SGD - Singapore Dollar;SGDUSD Curncy;SGD
SIT;SIT - Slovenian Tolat;SITUSD Curncy;SIT
SKK;SKK - Slovak  Koruna;SKKUSD Curncy;SKK
SYP;SYP - Syrian Pound;SYPUSD Curncy;SYP
THB;THB - Thai Baht;THBUSD Curncy;THB
TJS;TJS - Tajikistan TJS;TJSUSD Curncy;TJS
TMM;TMM - Turkmenistan TMM;TMMUSD Curncy;TMM
TND;TND - Tunisian Dinar;TNDUSD Curncy;TND
TRL;TRL - Turkish Lira;TRLUSD Curncy;TRL
TRY;TRY - Turkish Lira;TRYUSD Curncy;TRY
TTD;TTD - Trinidad Dollar;TTDUSD Curncy;TTD
TWD;TWD - Taiwanese Dollar;TWDUSD Curncy;TWD
UAH;UAH - Ukrainian Hryvnia;UAHUSD Curncy;UAH
USD;USD - United States Dollar;USDUSD Curncy;USD
UYU;UYU - Uruguayan Peso;UYUUSD Curncy;UYU
UZS;UZS - Uzbekistan UZS;UZSUSD Curncy;UZS
VEB;VEB - Venezuela Bolivar;VEBUSD Curncy;VEB
VEF;VEF - Venezuela Bolivar Ft;VEFUSD Curncy;VEF
VND;VND - Vietnamese Dong;VNDUSD Curncy;VND
XAF;XAF - Central Africa Franc;XAFUSD Curncy;XAF
XEU;XEU - Europe Ecu;XEUUSD Curncy;XEU
XOF;XOF - Ivory Coast Frank;XOFUSD Curncy;XOF
ZAR;ZAR - South Africa Rand;ZARUSD Curncy;ZAR
